,Year,DOY,EST,Global Horizontal [W/m^2],Air Temperature [deg C],Est Pressure [mBar],CR800 Temp [deg C]
0,2017,319,0,0,2.531,1047,1.761
0,2017,319,1,0,2.561,1047,1.735
0,2017,319,2,0,2.582,1047,1.716
0,2017,319,3,0,2.587,1047,1.694
0,2017,319,4,0,2.612,1047,1.68
0,2017,319,5,0,2.594,1047,1.657
0,2017,319,6,0,2.527,1047,1.639
0,2017,319,7,0,2.414,1047,1.616
0,2017,319,8,0,2.349,1048,1.599
0,2017,319,9,0,2.353,1048,1.577
0,2017,319,10,0,2.418,1048,1.565
0,2017,319,11,0,2.497,1047,1.552
0,2017,319,12,0,2.504,1047,1.543
0,2017,319,13,0,2.51,1047,1.534
0,2017,319,14,0,2.568,1047,1.523
0,2017,319,15,0,2.618,1047,1.519
0,2017,319,16,0,2.637,1047,1.502
0,2017,319,17,0,2.612,1047,1.498
0,2017,319,18,0,2.553,1047,1.48
0,2017,319,19,0,2.497,1047,1.48
0,2017,319,20,0,2.504,1047,1.463
0,2017,319,21,0,2.521,1047,1.457
0,2017,319,22,0,2.497,1047,1.437
0,2017,319,23,0,2.46,1047,1.437
0,2017,319,24,0,2.435,1048,1.418
0,2017,319,25,0,2.492,1047,1.399
0,2017,319,26,0,2.468,1047,1.394
0,2017,319,27,0,2.514,1047,1.378
0,2017,319,28,0,2.585,1047,1.373
0,2017,319,29,0,2.527,1047,1.353
0,2017,319,30,0,2.389,1048,1.351
0,2017,319,31,0,2.295,1048,1.339
0,2017,319,32,0,2.243,1048,1.33
0,2017,319,33,0,2.223,1048,1.315
0,2017,319,34,0,2.312,1048,1.308
0,2017,319,35,0,2.341,1048,1.299
0,2017,319,36,0,2.398,1048,1.288
0,2017,319,37,0,2.502,1047,1.277
0,2017,319,38,0,2.553,1047,1.267
0,2017,319,39,0,2.583,1047,1.267
0,2017,319,40,0,2.589,1047,1.267
0,2017,319,41,0,2.527,1047,1.26
0,2017,319,42,0,2.485,1047,1.245
0,2017,319,43,0,2.464,1047,1.245
0,2017,319,44,0,2.467,1047,1.245
0,2017,319,45,0,2.444,1047,1.245
0,2017,319,46,0,2.295,1048,1.234
0,2017,319,47,0,2.338,1048,1.224
0,2017,319,48,0,2.482,1047,1.224
0,2017,319,49,0,2.503,1047,1.224
0,2017,319,50,0,2.491,1047,1.224
0,2017,319,51,0,2.462,1047,1.224
0,2017,319,52,0,2.472,1047,1.221
0,2017,319,53,0,2.437,1047,1.209
0,2017,319,54,0,2.45,1047,1.202
0,2017,319,55,0,2.468,1047,1.202
0,2017,319,56,0,2.468,1047,1.202
0,2017,319,57,0,2.456,1047,1.202
0,2017,319,58,0,2.422,1048,1.202
0,2017,319,59,0,2.363,1048,1.2
0,2017,319,100,0,2.376,1048,1.188
0,2017,319,101,0,2.445,1048,1.181
0,2017,319,102,0,2.488,1047,1.181
0,2017,319,103,0,2.457,1047,1.181
0,2017,319,104,0,2.387,1048,1.181
0,2017,319,105,0,2.392,1048,1.181
0,2017,319,106,0,2.44,1047,1.181
0,2017,319,107,0,2.427,1048,1.181
0,2017,319,108,0,2.403,1048,1.181
0,2017,319,109,0,2.366,1048,1.181
0,2017,319,110,0,2.387,1048,1.181
0,2017,319,111,0,2.455,1047,1.174
0,2017,319,112,0,2.487,1047,1.161
0,2017,319,113,0,2.47,1047,1.159
0,2017,319,114,0,2.453,1047,1.159
0,2017,319,115,0,2.43,1048,1.159
0,2017,319,116,0,2.426,1048,1.157
0,2017,319,117,0,2.402,1048,1.142
0,2017,319,118,0,2.261,1048,1.138
0,2017,319,119,0,2.24,1048,1.138
0,2017,319,120,0,2.332,1048,1.138
0,2017,319,121,0,2.387,1048,1.138
0,2017,319,122,0,2.388,1048,1.135
0,2017,319,123,0,2.338,1048,1.12
0,2017,319,124,0,2.351,1048,1.118
0,2017,319,125,0,2.394,1048,1.112
0,2017,319,126,0,2.371,1048,1.097
0,2017,319,127,0,2.292,1048,1.096
0,2017,319,128,0,2.205,1048,1.096
0,2017,319,129,0,2.163,1048,1.089
0,2017,319,130,0,2.131,1049,1.075
0,2017,319,131,0,2.101,1049,1.075
0,2017,319,132,0,2.021,1049,1.071
0,2017,319,133,0,2.034,1049,1.053
0,2017,319,134,0,1.944,1049,1.053
0,2017,319,135,0,1.96,1049,1.053
0,2017,319,136,0,2.097,1049,1.053
0,2017,319,137,0,2.174,1049,1.036
0,2017,319,138,0,2.132,1049,1.032
0,2017,319,139,0,2.023,1049,1.032
0,2017,319,140,0,1.988,1049,1.024
0,2017,319,141,0,2.051,1049,1.012
0,2017,319,142,0,2.113,1049,1.012
0,2017,319,143,0,2.161,1049,1.012
0,2017,319,144,0,2.189,1048,1.004
0,2017,319,145,0,2.204,1048,0.989
0,2017,319,146,0,2.212,1048,0.989
0,2017,319,147,0,2.277,1048,0.989
0,2017,319,148,0,2.282,1048,0.989
0,2017,319,149,0,2.184,1048,0.989
0,2017,319,150,0,2.195,1048,0.969
0,2017,319,151,0,2.222,1048,0.969
0,2017,319,152,0,2.221,1048,0.969
0,2017,319,153,0,2.154,1048,0.969
0,2017,319,154,0,2.077,1049,0.96
0,2017,319,155,0,2.007,1049,0.946
0,2017,319,156,0,1.991,1049,0.946
0,2017,319,157,0,1.922,1049,0.945
0,2017,319,158,0,1.867,1050,0.926
0,2017,319,159,0,1.79,1050,0.926
0,2017,319,200,0,1.842,1050,0.92
0,2017,319,201,0,1.908,1050,0.903
0,2017,319,202,0,1.892,1050,0.897
0,2017,319,203,0,1.873,1050,0.883
0,2017,319,204,0,1.873,1050,0.88
0,2017,319,205,0,1.895,1050,0.863
0,2017,319,206,0,1.923,1049,0.852
0,2017,319,207,0,1.889,1050,0.84
0,2017,319,208,0,1.859,1050,0.839
0,2017,319,209,0,1.895,1050,0.82
0,2017,319,210,0,1.961,1049,0.82
0,2017,319,211,0,2.045,1049,0.812
0,2017,319,212,0,2.101,1049,0.797
0,2017,319,213,0.00635,2.075,1049,0.797
0,2017,319,214,0,2.043,1049,0.797
0,2017,319,215,0,1.991,1049,0.789
0,2017,319,216,0,1.926,1049,0.777
0,2017,319,217,0,1.822,1050,0.774
0,2017,319,218,0,1.756,1050,0.757
0,2017,319,219,0,1.78,1050,0.757
0,2017,319,220,0,1.823,1050,0.755
0,2017,319,221,0,1.877,1050,0.755
0,2017,319,222,0,1.927,1049,0.747
0,2017,319,223,0,1.961,1049,0.755
0,2017,319,224,0,1.99,1049,0.757
0,2017,319,225,0,1.997,1049,0.757
0,2017,319,226,0,1.947,1049,0.757
0,2017,319,227,0,1.869,1050,0.774
0,2017,319,228,0,1.941,1049,0.777
0,2017,319,229,0,2.108,1049,0.779
0,2017,319,230,0,2.194,1048,0.797
0,2017,319,231,0,2.157,1048,0.797
0,2017,319,232,0,2.118,1049,0.797
0,2017,319,233,0,2.074,1049,0.799
0,2017,319,234,0,2.022,1049,0.82
0,2017,319,235,0,1.995,1049,0.822
0,2017,319,236,0,1.99,1049,0.839
0,2017,319,237,0,1.985,1049,0.84
0,2017,319,238,0,1.984,1049,0.844
0,2017,319,239,0,1.984,1049,0.863
0,2017,319,240,0,1.994,1049,0.863
0,2017,319,241,0,2.019,1049,0.863
0,2017,319,242,0,2.019,1049,0.863
0,2017,319,243,0,1.972,1049,0.863
0,2017,319,244,0,1.956,1049,0.863
0,2017,319,245,0,1.926,1049,0.863
0,2017,319,246,0,2.06,1049,0.863
0,2017,319,247,0,2.163,1049,0.863
0,2017,319,248,0,2.28,1048,0.863
0,2017,319,249,0,2.376,1048,0.87
0,2017,319,250,0,2.401,1048,0.881
0,2017,319,251,0,2.425,1048,0.885
0,2017,319,252,0,2.359,1048,0.903
0,2017,319,253,0,2.32,1048,0.924
0,2017,319,254,0,2.262,1048,0.936
0,2017,319,255,0,2.192,1048,0.952
0,2017,319,256,0,2.171,1049,0.969
0,2017,319,257,0,2.131,1049,0.984
0,2017,319,258,0.00635,2.116,1049,0.999
0,2017,319,259,0,2.145,1049,1.012
0,2017,319,300,0,2.162,1049,1.024
0,2017,319,301,0,2.205,1048,1.034
0,2017,319,302,0,2.201,1048,1.053
0,2017,319,303,0,2.2,1048,1.053
0,2017,319,304,0,2.228,1048,1.068
0,2017,319,305,0,2.24,1048,1.075
0,2017,319,306,0,2.229,1048,1.089
0,2017,319,307,0,2.234,1048,1.096
0,2017,319,308,0,2.202,1048,1.096
0,2017,319,309,0,2.152,1049,1.101
0,2017,319,310,0,2.142,1049,1.116
0,2017,319,311,0,2.15,1049,1.118
0,2017,319,312,0,2.139,1049,1.118
0,2017,319,313,0,2.116,1049,1.118
0,2017,319,314,0,2.075,1049,1.118
0,2017,319,315,0,2.066,1049,1.118
0,2017,319,316,0,2.087,1049,1.118
0,2017,319,317,0,2.09,1049,1.118
0,2017,319,318,0,2.086,1049,1.118
0,2017,319,319,0,2.075,1049,1.118
0,2017,319,320,0,2.032,1049,1.105
0,2017,319,321,0,2.013,1049,1.096
0,2017,319,322,0,2.007,1049,1.096
0,2017,319,323,0,1.997,1049,1.096
0,2017,319,324,0,1.953,1049,1.096
0,2017,319,325,0,1.926,1049,1.089
0,2017,319,326,0,1.917,1049,1.075
0,2017,319,327,0,1.946,1049,1.075
0,2017,319,328,0,1.967,1049,1.064
0,2017,319,329,0,1.977,1049,1.053
0,2017,319,330,0,1.98,1049,1.053
0,2017,319,331,0,1.957,1049,1.053
0,2017,319,332,0,1.916,1049,1.049
0,2017,319,333,0,1.882,1050,1.032
0,2017,319,334,0,1.886,1050,1.032
0,2017,319,335,0,1.88,1050,1.032
0,2017,319,336,0,1.893,1050,1.032
0,2017,319,337,0,1.892,1050,1.032
0,2017,319,338,0,1.851,1050,1.032
0,2017,319,339,0,1.807,1050,1.032
0,2017,319,340,0,1.789,1050,1.032
0,2017,319,341,0,1.787,1050,1.032
0,2017,319,342,0,1.81,1050,1.032
0,2017,319,343,0,1.823,1050,1.032
0,2017,319,344,0,1.84,1050,1.032
0,2017,319,345,0,1.872,1050,1.032
0,2017,319,346,0,1.887,1050,1.032
0,2017,319,347,0,1.895,1050,1.032
0,2017,319,348,0,1.886,1050,1.032
0,2017,319,349,0,1.878,1050,1.032
0,2017,319,350,0,1.847,1050,1.049
0,2017,319,351,0,1.829,1050,1.053
0,2017,319,352,0,1.827,1050,1.053
0,2017,319,353,0,1.816,1050,1.053
0,2017,319,354,0,1.825,1050,1.053
0,2017,319,355,0,1.862,1050,1.053
0,2017,319,356,0,1.922,1049,1.062
0,2017,319,357,0,1.955,1049,1.075
0,2017,319,358,0,2.002,1049,1.075
0,2017,319,359,0,2.023,1049,1.087
0,2017,319,400,0,2.024,1049,1.096
0,2017,319,401,0,2.031,1049,1.096
0,2017,319,402,0,2.058,1049,1.105
0,2017,319,403,0,2.051,1049,1.118
0,2017,319,404,0,2.015,1049,1.127
0,2017,319,405,0,2.008,1049,1.138
0,2017,319,406,0,2.061,1049,1.138
0,2017,319,407,0,2.114,1049,1.159
0,2017,319,408,0,2.111,1049,1.164
0,2017,319,409,0,2.115,1049,1.181
0,2017,319,410,0,2.135,1049,1.188
0,2017,319,411,0,2.132,1049,1.202
0,2017,319,412,0,2.115,1049,1.219
0,2017,319,413,0,2.106,1049,1.224
0,2017,319,414,0,2.151,1049,1.236
0,2017,319,415,0,2.17,1048,1.247
0,2017,319,416,0,2.222,1048,1.267
0,2017,319,417,0,2.311,1048,1.267
0,2017,319,418,0,2.34,1048,1.284
0,2017,319,419,0,2.381,1048,1.293
0,2017,319,420,0,2.402,1048,1.308
0,2017,319,421,0,2.416,1048,1.323
0,2017,319,422,0,2.416,1048,1.336
0,2017,319,423,0,2.4,1048,1.351
0,2017,319,424,0,2.381,1048,1.368
0,2017,319,425,0,2.358,1048,1.384
0,2017,319,426,0,2.332,1048,1.394
0,2017,319,427,0,2.324,1048,1.414
0,2017,319,428,0,2.348,1048,1.45
0,2017,319,429,0,2.356,1048,1.463
0,2017,319,430,0,2.366,1048,1.483
0,2017,319,431,0,2.423,1048,1.5
0,2017,319,432,0,2.462,1047,1.509
0,2017,319,433,0,2.49,1047,1.524
0,2017,319,434,0,2.518,1047,1.543
0,2017,319,435,0,2.545,1047,1.558
0,2017,319,436,0,2.552,1047,1.572
0,2017,319,437,0,2.508,1047,1.586
0,2017,319,438,0,2.473,1047,1.591
0,2017,319,439,0,2.445,1047,1.606
0,2017,319,440,0,2.423,1048,1.616
0,2017,319,441,0,2.407,1048,1.629
0,2017,319,442,0,2.403,1048,1.629
0,2017,319,443,0,2.396,1048,1.637
0,2017,319,444,0,2.379,1048,1.649
0,2017,319,445,0,2.351,1048,1.649
0,2017,319,446,0,2.358,1048,1.658
0,2017,319,447,0,2.361,1048,1.672
0,2017,319,448,0,2.366,1048,1.672
0,2017,319,449,0,2.368,1048,1.672
0,2017,319,450,0,2.34,1048,1.672
0,2017,319,451,0,2.286,1048,1.672
0,2017,319,452,0,2.25,1048,1.672
0,2017,319,453,0,2.232,1048,1.672
0,2017,319,454,0,2.176,1048,1.672
0,2017,319,455,0,2.143,1049,1.672
0,2017,319,456,0,2.128,1049,1.672
0,2017,319,457,0,2.095,1049,1.672
0,2017,319,458,0,2.09,1049,1.67
0,2017,319,459,0,2.086,1049,1.662
0,2017,319,500,0,2.11,1049,1.649
0,2017,319,501,0,2.127,1049,1.649
0,2017,319,502,0,2.114,1049,1.649
0,2017,319,503,0,2.106,1049,1.649
0,2017,319,504,0,2.119,1049,1.649
0,2017,319,505,0,2.108,1049,1.649
0,2017,319,506,0,2.103,1049,1.649
0,2017,319,507,0,2.088,1049,1.649
0,2017,319,508,0,2.088,1049,1.649
0,2017,319,509,0,2.102,1049,1.649
0,2017,319,510,0,2.083,1049,1.649
0,2017,319,511,0,2.046,1049,1.649
0,2017,319,512,0,2.035,1049,1.651
0,2017,319,513,0,2.026,1049,1.664
0,2017,319,514,0,2.025,1049,1.672
0,2017,319,515,0,2.023,1049,1.672
0,2017,319,516,0,2.027,1049,1.672
0,2017,319,517,0,2.041,1049,1.672
0,2017,319,518,0,2.045,1049,1.672
0,2017,319,519,0,2.047,1049,1.672
0,2017,319,520,0,2.035,1049,1.672
0,2017,319,521,0,1.997,1049,1.672
0,2017,319,522,0,1.989,1049,1.673
0,2017,319,523,0,1.991,1049,1.69
0,2017,319,524,0,1.986,1049,1.692
0,2017,319,525,0,1.972,1049,1.692
0,2017,319,526,0,1.935,1049,1.692
0,2017,319,527,0,1.904,1049,1.692
0,2017,319,528,0,1.898,1050,1.692
0,2017,319,529,0,1.9,1050,1.694
0,2017,319,530,0,1.915,1050,1.699
0,2017,319,531,0,1.98,1049,1.706
0,2017,319,532,0,1.952,1049,1.709
0,2017,319,533,0,1.937,1049,1.712
0,2017,319,534,0,1.928,1049,1.712
0,2017,319,535,0,1.919,1049,1.712
0,2017,319,536,0,1.873,1050,1.712
0,2017,319,537,0,1.855,1050,1.712
0,2017,319,538,0,1.834,1050,1.712
0,2017,319,539,0,1.78,1050,1.712
0,2017,319,540,0,1.746,1050,1.712
0,2017,319,541,0,1.727,1050,1.712
0,2017,319,542,0,1.719,1050,1.706
0,2017,319,543,0,1.723,1050,1.692
0,2017,319,544,0,1.745,1050,1.692
0,2017,319,545,0,1.744,1050,1.687
0,2017,319,546,0,1.735,1050,1.672
0,2017,319,547,0,1.699,1050,1.668
0,2017,319,548,0,1.646,1050,1.649
0,2017,319,549,0,1.647,1050,1.635
0,2017,319,550,0,1.626,1051,1.625
0,2017,319,551,0,1.623,1051,1.606
0,2017,319,552,0,1.638,1051,1.589
0,2017,319,553,0,1.657,1051,1.584
0,2017,319,554,0,1.65,1050,1.565
0,2017,319,555,0,1.657,1050,1.547
0,2017,319,556,0,1.629,1051,1.536
0,2017,319,557,0,1.606,1051,1.515
0,2017,319,558,0,1.597,1051,1.481
0,2017,319,559,0,1.588,1051,1.48
0,2017,319,600,0,1.595,1051,1.466
0,2017,319,601,0,1.607,1051,1.457
0,2017,319,602,0,1.623,1051,1.442
0,2017,319,603,0.00635,1.631,1051,1.437
0,2017,319,604,0,1.578,1051,1.433
0,2017,319,605,0,1.51,1051,1.416
0,2017,319,606,0,1.502,1051,1.416
0,2017,319,607,0,1.543,1051,1.397
0,2017,319,608,0,1.516,1051,1.394
0,2017,319,609,0,1.477,1051,1.394
0,2017,319,610,0,1.457,1051,1.389
0,2017,319,611,0,1.471,1051,1.373
0,2017,319,612,0,1.526,1051,1.373
0,2017,319,613,0,1.555,1051,1.366
0,2017,319,614,0,1.554,1051,1.351
0,2017,319,615,0,1.549,1051,1.351
0,2017,319,616,0,1.555,1051,1.351
0,2017,319,617,0,1.541,1051,1.349
0,2017,319,618,0,1.541,1051,1.337
0,2017,319,619,0,1.518,1051,1.332
0,2017,319,620,0,1.492,1051,1.33
0,2017,319,621,0,1.474,1051,1.33
0,2017,319,622,0,1.479,1051,1.33
0,2017,319,623,0,1.497,1051,1.329
