Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,319,0,0,0
2017,319,0,1,0
2017,319,0,2,0
2017,319,0,3,0
2017,319,0,4,0
2017,319,0,5,0
2017,319,0,6,0
2017,319,0,7,0
2017,319,0,8,0
2017,319,0,9,0
2017,319,0,10,0
2017,319,0,11,0
2017,319,0,12,0
2017,319,0,13,0
2017,319,0,14,0
2017,319,0,15,0
2017,319,0,16,0
2017,319,0,17,0
2017,319,0,18,0
2017,319,0,19,0
2017,319,0,20,0
2017,319,0,21,0
2017,319,0,22,0
2017,319,0,23,0
2017,319,0,24,0
2017,319,0,25,0
2017,319,0,26,0
2017,319,0,27,0
2017,319,0,28,0
2017,319,0,29,0
2017,319,0,30,0
2017,319,0,31,0
2017,319,0,32,0
2017,319,0,33,0
2017,319,0,34,0
2017,319,0,35,0
2017,319,0,36,0
2017,319,0,37,0
2017,319,0,38,0
2017,319,0,39,0
2017,319,0,40,0
2017,319,0,41,0
2017,319,0,42,0
2017,319,0,43,0
2017,319,0,44,0
2017,319,0,45,0
2017,319,0,46,0
2017,319,0,47,0
2017,319,0,48,0
2017,319,0,49,0
2017,319,0,50,0
2017,319,0,51,0
2017,319,0,52,0
2017,319,0,53,0
2017,319,0,54,0
2017,319,0,55,0
2017,319,0,56,0
2017,319,0,57,0
2017,319,0,58,0
2017,319,0,59,0
2017,319,1,0,0
2017,319,1,1,0
2017,319,1,2,0
2017,319,1,3,0
2017,319,1,4,0
2017,319,1,5,0
2017,319,1,6,0
2017,319,1,7,0
2017,319,1,8,0
2017,319,1,9,0
2017,319,1,10,0
2017,319,1,11,0
2017,319,1,12,0
2017,319,1,13,0
2017,319,1,14,0
2017,319,1,15,0
2017,319,1,16,0
2017,319,1,17,0
2017,319,1,18,0
2017,319,1,19,0
2017,319,1,20,0
2017,319,1,21,0
2017,319,1,22,0
2017,319,1,23,0
2017,319,1,24,0
2017,319,1,25,0
2017,319,1,26,0
2017,319,1,27,0
2017,319,1,28,0
2017,319,1,29,0
2017,319,1,30,0
2017,319,1,31,0
2017,319,1,32,0
2017,319,1,33,0
2017,319,1,34,0
2017,319,1,35,0
2017,319,1,36,0
2017,319,1,37,0
2017,319,1,38,0
2017,319,1,39,0
2017,319,1,40,0
2017,319,1,41,0
2017,319,1,42,0
2017,319,1,43,0
2017,319,1,44,0
2017,319,1,45,0
2017,319,1,46,0
2017,319,1,47,0
2017,319,1,48,0
2017,319,1,49,0
2017,319,1,50,0
2017,319,1,51,0
2017,319,1,52,0
2017,319,1,53,0
2017,319,1,54,0
2017,319,1,55,0
2017,319,1,56,0
2017,319,1,57,0
2017,319,1,58,0
2017,319,1,59,0
2017,319,2,0,0
2017,319,2,1,0
2017,319,2,2,0
2017,319,2,3,0
2017,319,2,4,0
2017,319,2,5,0
2017,319,2,6,0
2017,319,2,7,0
2017,319,2,8,0
2017,319,2,9,0
2017,319,2,10,0
2017,319,2,11,0
2017,319,2,12,0
2017,319,2,13,0.00635
2017,319,2,14,0
2017,319,2,15,0
2017,319,2,16,0
2017,319,2,17,0
2017,319,2,18,0
2017,319,2,19,0
2017,319,2,20,0
2017,319,2,21,0
2017,319,2,22,0
2017,319,2,23,0
2017,319,2,24,0
2017,319,2,25,0
2017,319,2,26,0
2017,319,2,27,0
2017,319,2,28,0
2017,319,2,29,0
2017,319,2,30,0
2017,319,2,31,0
2017,319,2,32,0
2017,319,2,33,0
2017,319,2,34,0
2017,319,2,35,0
2017,319,2,36,0
2017,319,2,37,0
2017,319,2,38,0
2017,319,2,39,0
2017,319,2,40,0
2017,319,2,41,0
