Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,319,00,01,0
2017,319,00,02,0
2017,319,00,03,0
2017,319,00,04,0
2017,319,00,05,0
2017,319,00,06,0
2017,319,00,07,0
2017,319,00,08,0
2017,319,00,09,0
2017,319,00,10,0
2017,319,00,11,0
2017,319,00,12,0
2017,319,00,13,0
2017,319,00,14,0
2017,319,00,15,0
2017,319,00,16,0
2017,319,00,17,0
2017,319,00,18,0
2017,319,00,19,0
2017,319,00,20,0
2017,319,00,21,0
2017,319,00,22,0
2017,319,00,23,0
2017,319,00,24,0
2017,319,00,25,0
2017,319,00,26,0
2017,319,00,27,0
2017,319,00,28,0
2017,319,00,29,0
2017,319,00,30,0
2017,319,00,31,0
2017,319,00,32,0
2017,319,00,33,0
2017,319,00,34,0
2017,319,00,35,0
2017,319,00,36,0
2017,319,00,37,0
2017,319,00,38,0
2017,319,00,39,0
2017,319,00,40,0
2017,319,00,41,0
2017,319,00,42,0
2017,319,00,43,0
2017,319,00,44,0
2017,319,00,45,0
2017,319,00,46,0
2017,319,00,47,0
2017,319,00,48,0
2017,319,00,49,0
2017,319,00,50,0
2017,319,00,51,0
2017,319,00,52,0
2017,319,00,53,0
2017,319,00,54,0
2017,319,00,55,0
2017,319,00,56,0
2017,319,00,57,0
2017,319,00,58,0
2017,319,00,59,0
2017,319,00,00,0
2017,319,01,01,0
2017,319,01,02,0
2017,319,01,03,0
2017,319,01,04,0
2017,319,01,05,0
2017,319,01,06,0
2017,319,01,07,0
2017,319,01,08,0
2017,319,01,09,0
2017,319,01,10,0
2017,319,01,11,0
2017,319,01,12,0
2017,319,01,13,0
2017,319,01,14,0
2017,319,01,15,0
2017,319,01,16,0
2017,319,01,17,0
2017,319,01,18,0
2017,319,01,19,0
2017,319,01,20,0
2017,319,01,21,0
2017,319,01,22,0
2017,319,01,23,0
2017,319,01,24,0
2017,319,01,25,0
2017,319,01,26,0
2017,319,01,27,0
2017,319,01,28,0
2017,319,01,29,0
2017,319,01,30,0
2017,319,01,31,0
2017,319,01,32,0
2017,319,01,33,0
2017,319,01,34,0
2017,319,01,35,0
2017,319,01,36,0
2017,319,01,37,0
2017,319,01,38,0
2017,319,01,39,0
